Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Requisição HTTP,20000,2898,149,21413,22006,27965,0,37249,"0,040%","286,05346","217,76","36,86"
TOTAL,20000,2898,149,21413,22006,27965,0,37249,"0,040%","286,05346","217,76","36,86"
